"tip","time","weekday","distance","duration_min","points","deliveries_count","fare","month","time_sin","time_cos","geo_distance","speed","geo_speed","log_tip","log_distance","dist_dur","is_weekday","is_summer","time_of_day","log_points","poin_deli","deliveries_f"
2,10.5,2,2.94,21.15,1,1,3.09,9,-0.707106781186548,-0.793353340291235,0.870431088284027,0.139007092198582,0.0411551341978263,1.09861228866811,1.37118072330984,29.0004722980032,1,1,"afternoon",0.693147180559945,1,"1"
5.9,18,5,6.98,27.2,6,1,3.48,5,3.67394039744206e-16,0.866025403784439,2.98998625470183,0.256617647058824,0.109925965246391,1.93152141160321,2.07693841146172,56.4927247917587,1,1,"evening",1.94591014905531,6,"1"
4.19,12,2,1.97,20.0833333333333,3,1,2.86,9,-2.44929359829471e-16,-0.5,0.777127520608833,0.098091286307054,0.0386951462543817,1.6467336971778,1.08856195281461,21.86195255236,1,1,"afternoon",1.38629436111989,3,"1"
11.3,20,6,11.09,36.3,12,1,9.18,8,-0.866025403784439,1,4.9870025378766,0.305509641873278,0.137382990024149,2.50959926237837,2.4923786646267,90.4733455259492,1,1,"evening",2.56494935746154,12,"1"
21.91,1,5,5.98,20.9,1,1,4.07,8,0.5,0.25881904510252,2.3734505195671,0.286124401913876,0.113562225816607,3.1315734964654,1.94304891677428,40.6097223605825,1,1,"night",0.693147180559945,1,"1"
4,16,5,16.43,48.6333333333333,2,2,15.08,7,0.866025403784439,0.5,9.14316269028586,0.337834132967786,0.188001974440422,1.6094379124341,2.85819285953193,139.003446068569,1,1,"evening",1.09861228866811,4,"2"
3.41,8,2,1.03,14.5333333333333,1,1,2.26,8,-0.866025403784438,-1,8.60846019178125,0.0708715596330275,0.592325242553756,1.48387468945875,0.708035793053696,10.2901201923804,1,1,"afternoon",0.693147180559945,1,"1"
14.61,20.5,6,5.42,26.4166666666667,12,2,4.12,8,-0.965925826289068,0.99144486137381,3.61551450908508,0.205173501577287,0.136864902552117,2.74791173452734,1.85941811770187,49.1196286092911,1,1,"evening",2.56494935746154,24,"2"
4.17,16.5,4,7.23,38.6,6,1,4.91,3,0.707106781186547,0.608761429008721,3.26181237444378,0.187305699481865,0.0845029112550203,1.64287268852034,2.10778601468898,81.3605401669946,1,0,"evening",1.94591014905531,6,"1"
10,9,4,2.26,12.35,1,1,3.02,8,-1,-0.965925826289068,0.794942275315655,0.182995951417004,0.0643677955721178,2.39789527279837,1.18172719537862,14.5943308629259,1,1,"afternoon",0.693147180559945,1,"1"
3,1,4,7.75,53.2,2,2,12.16,4,0.5,0.25881904510252,2.97387349198955,0.145676691729323,0.0558998776689765,1.38629436111989,2.16905370036952,115.393656859659,1,0,"night",1.09861228866811,4,"2"
