"tip","time","weekday","distance","duration_min","points","deliveries_count","fare","month","time_sin","time_cos","geo_distance","speed","geo_speed"
9.81,19.5,3,1.07,12.1833333333333,6,1,2.49,7,-0.707106781186547,-0.707106781186548,0.605063811135295,0.0878248974008208,0.0496632403120625
11.17,19.5,3,1.71,11.25,6,1,3.17,7,-0.707106781186547,-0.707106781186548,0.673815422737401,0.152,0.0598947042433245
4,20,3,2.19,22.55,6,1,3.01,7,-0.866025403784439,-0.5,1.42982346262874,0.0971175166297117,0.0634068054380817
7.85,21.5,3,8.69,42.8,3,2,13.25,7,-0.965925826289068,0.25881904510252,1.39792986252301,0.20303738317757,0.0326619126757713
4.51,22,3,2.47,11.1666666666667,1,1,2.51,7,-0.866025403784439,0.499999999999999,0.789823301498068,0.221194029850746,0.0707304449102747
4.69,8.5,1,4.69,14.8166666666667,1,1,5.45,6,-0.965925826289068,-0.258819045102521,1.52094029129733,0.316535433070866,0.102650638332778
3.14,9,1,1.71,12.5,1,1,2.53,6,-1,-1.83697019872103e-16,0.748543171076701,0.1368,0.059883453686136
1.5,11,1,4.23,25.2166666666667,3,1,5.57,6,-0.5,0.866025403784438,2.04573039119464,0.167746199603437,0.0811261225853788
1,11.5,1,4.05,28.15,3,1,5.01,6,-0.258819045102522,0.965925826289068,2.45588658933471,0.143872113676732,0.0872428628538084
5.59,18.5,1,2.91,24.35,6,1,3.49,6,-0.25881904510252,-0.965925826289068,1.55030813290661,0.119507186858316,0.0636676851296348
3,22.5,1,1.06,9.86666666666667,1,1,3.04,6,-0.707106781186547,0.707106781186548,0.264155355320514,0.107432432432432,0.0267725022284305
6.29,22.5,1,1.92,21.6833333333333,1,1,2.76,6,-0.707106781186547,0.707106781186548,1.23414467269186,0.0885472713297463,0.056916741246358
5.84,23,1,1.97,12.95,1,1,3.55,6,-0.500000000000001,0.866025403784438,1.02658703450373,0.152123552123552,0.0792731300775077
2.3,1,0,2.28,8.3,1,1,5.75,3,0.5,0.866025403784439,0.268196641757741,0.274698795180723,0.0323128484045472
5.82,2,0,6.23,26.0166666666667,1,1,8.23,3,0.866025403784439,0.5,0.595363915882828,0.239461883408072,0.0228839429551375
3.89,21.5,0,5.07,21.3166666666667,1,1,3.16,3,-0.965925826289068,0.25881904510252,2.80526388697754,0.237842064112588,0.131599556855866
8.01,8,5,3.42,14.1166666666667,1,1,4.07,5,-0.866025403784438,-0.5,1.24527749819616,0.242266824085006,0.088213282044592
7.08,8.5,5,6.58,41.3166666666667,2,2,6.29,5,-0.965925826289068,-0.258819045102521,4.13618203183561,0.159257765227914,0.100109286772947
6.81,19.5,5,1.31,25.9,6,1,2.27,5,-0.707106781186547,-0.707106781186548,0.671933944473548,0.0505791505791506,0.0259433955395192
4,20,5,0.42,18.0166666666667,6,1,2.04,5,-0.866025403784439,-0.5,0.886759569677459,0.0233117483811286,0.0492188475306638
10.05,20.5,5,5.42,25.6166666666667,12,2,16.65,5,-0.965925826289068,-0.258819045102523,2.07145386332922,0.211581001951854,0.0808635210148035
4.53,12,2,2.58,18.85,0,1,3.06,9,-2.44929359829471e-16,1,1.81879990341626,0.136870026525199,0.0964880585366718
5,18,2,12.11,30.45,6,1,9.09,9,3.67394039744206e-16,-1,6.05374896072724,0.397701149425287,0.198809489679055
4,19,2,4.44,20.3333333333333,6,1,3.09,9,-0.499999999999999,-0.866025403784439,3.91917042915529,0.218360655737705,0.192746086679768
12.34,20.5,2,2.98,33.8333333333333,6,1,5.01,9,-0.965925826289068,-0.258819045102523,0.92577704930546,0.0880788177339901,0.0273628684523781
3,21,2,13.24,36.0833333333333,0,1,5.07,9,-1,-4.28626379701574e-16,10.8444226739879,0.366928406466513,0.300538272720218
2,23,2,2.52,13.2,1,1,6.09,9,-0.500000000000001,0.866025403784438,0.734316416656938,0.190909090909091,0.0556300315649195
9.25,0,2,3.83,25.1666666666667,2,1,4.78,9,0,1,1.77443765401475,0.152185430463576,0.0705074564509172
4,10.5,4,2.09,24.2,2,2,4.52,4,-0.707106781186548,0.707106781186547,8.7150895597022,0.0863636363636364,0.360127667756289
2,14.5,4,1.29,12.7,1,1,3.08,4,0.965925826289068,0.258819045102521,0.549326257476315,0.101574803149606,0.0432540360217571
14,18.5,4,19.81,47.5333333333333,12,2,10.05,4,-0.25881904510252,-0.965925826289068,2.90316786540239,0.416760168302945,0.061076462806502
10.14,19,4,4.31,11.9833333333333,6,1,3.05,4,-0.499999999999999,-0.866025403784439,5.62322719522467,0.359666203059805,0.469254007946426
7.11,19.5,4,1.41,7.73333333333333,6,1,2.37,4,-0.707106781186547,-0.707106781186548,0.55714098997919,0.182327586206897,0.0720440935317918
3.32,20,4,2.24,12.7333333333333,6,1,3.28,4,-0.866025403784439,-0.5,1.56230540626326,0.175916230366492,0.122694141853135
8.4,21.5,4,4.2,21.0333333333333,1,1,3.02,4,-0.965925826289068,0.25881904510252,1.59052589330629,0.199683042789223,0.075619297621535
4,7.5,0,1.51,8.13333333333333,1,1,3.04,8,-0.707106781186547,-0.707106781186548,1.35684896544684,0.185655737704918,0.166825692472972
9,8,0,2.58,21.0666666666667,2,1,5.22,8,-0.866025403784438,-0.5,0.704208424569365,0.12246835443038,0.033427615090318
9.99,9.5,0,2.26,15.2166666666667,1,1,3.05,8,-0.965925826289068,0.25881904510252,1.15728088656875,0.148521358159912,0.0760535084273003
7.1,17,0,1.13,11.5333333333333,6,1,2.39,8,0.5,-0.866025403784439,0.692344821089501,0.0979768786127168,0.0600298977823267
5,20.5,0,2.07,25.6,6,1,3.48,8,-0.965925826289068,-0.258819045102523,1.399037818258,0.080859375,0.0546499147757032
